fid,LINK_ID,s_link
645,1220031501,1220031500
646,1220085800,1220032500
647,1230004600,1230004600
648,1220004401,1230004500
649,1220004502,1220004500
650,1220004501,1220004500
651,1220004402,1220004400
652,1220087902,1220032400
653,1220002902,1220003800
654,1220110400,1220032400
655,1220004305,1220004300
656,1220004802,1220004800
657,1220034902,1220034900
658,1220034802,1220034800
659,1220034904,1220034900
660,1220034804,1220034800
661,1220004202,1220004200
662,1040017600,1220005000
663,1040017500,1220005100
664,1220034102,1220034100
665,1220034803,1220034800
666,1220034903,1220034900
667,1220004801,1220004800
668,1220004302,1220004300
669,1220004203,1220004200
670,1220005402,1220004400
671,1220005503,1220005500
672,1220004902,1220004900
673,1220005300,1220005300
674,1220005200,1220005200
675,1220035404,1220035400
676,1220035504,1220035500
677,1220035403,1220035400
678,1220035503,1220035500
679,1220035402,1220035400
680,1220035502,1220035500
681,1220035903,1220035900
682,1220035803,1220035800
683,1220035904,1220035900
684,1220035804,1220035800
685,1220035901,1220035900
686,1220035801,1220035800
689,1220036306,1220036300
690,1220036206,1220036200
691,1220034703,1220034700
692,1220034603,1220034600
693,1220034901,1220034900
694,1220034801,1220034800
695,1040020100,1220005200
696,1040020000,1220005300
697,1220034002,1220034000
698,1220035902,1220035900
699,1220035802,1220035800
700,1220005401,1220005400
701,1220005502,1220005500
702,1220036305,1220036300
703,1220036205,1220036200
704,1220005603,1220005600
705,1220093001,1210030500
706,1220093102,1210030400
707,1220093002,1210030500
708,1210006504,1210006500
709,1220093500,1210030400
710,1220093400,1210030500
711,1220107800,1220037000
712,1220035104,1220035100
713,1220035004,1220035000
714,1220036002,1220036000
715,1220036101,1220036100
716,1220107900,1220037100
717,1210030602,1210030600
718,1210030702,1210030700
719,1220034404,1220034400
720,1220034504,1220034500
721,1220035003,1220035000
722,1220035103,1220035100
723,1220035101,1220035100
724,1220035001,1220035000
725,1220035102,1220035100
726,1220035002,1220035000
727,1020031500,1210030700
728,1030022200,1220037100
729,1030022100,1220037000
730,1210030601,1210006200
731,1210006202,1210006200
732,1220106000,1220037000
733,1220036601,1220036600
734,1220036703,1220036700
735,1220034505,1220034500
736,1220034405,1220034400
737,1210030701,1210006300
738,1220106100,1220037100
739,1210006503,1220005700
740,1210006502,1210006500
741,1210006403,1210006400
742,1210006302,1210006300
743,1210005200,1210005200
744,1210006404,1210006400
745,1210005403,1210005400
746,1210005305,1210005300
747,1210006401,1210006400
748,1220093101,1210030400
749,1210006505,1210006500
750,1220036704,1220036700
751,1220036602,1220036600
752,1220005601,1220005600
753,1220005701,1220005700
754,1220036801,1220036800
755,1220036901,1220036900
756,1220036902,1220036900
757,1220036802,1220036800
758,1220037203,1220037200
759,1220037303,1220037300
760,1220035205,1220035200
761,1220035305,1220035300
762,1220035204,1220035200
763,1220035304,1220035300
764,1220036304,1220036300
765,1220036204,1220036200
766,1220036202,1220036200
767,1220036303,1220036300
768,1220036103,1220036100
769,1220036004,1220036000
770,1220036102,1220036100
771,1220036003,1220036000
772,1220036104,1220036100
773,1220036005,1220036000
774,1220036301,1220036300
775,1220036201,1220036200
776,1220036203,1220036200
777,1220037301,1220036900
778,1220037202,1220037200
779,1220037302,1220037300
780,1220037201,1220036800
781,1220005703,1220005700
782,1220007702,1220007700
783,1220011501,1220011500
784,1220020902,1220020900
785,1220020802,1220020800
786,1210012700,3201503900
787,1210012600,3201503800
788,1220021502,1220021500
789,1220021402,1220021400
790,1220021503,1220021500
791,1220021403,1220021400
792,1220022300,1220022300
793,1220022200,1220022200
794,1220023203,1220023200
795,1220023103,1220023100
796,1220021504,1220021500
797,1220021404,1220021400
798,1220023102,1220023100
799,1220023204,1220023200
800,1220023104,1220023100
801,1220024602,1220024600
802,1220024702,1220024700
803,1220025803,1220025800
804,1220025903,1220025900
805,1220025802,1220025800
806,1220025902,1220025900
807,1220025901,1220025900
808,1220025801,1220025800
809,1220025401,1220025400
810,1220025501,1220025500
811,1220023802,1220023800
812,1220023902,1220023900
813,1220023801,1220023800
814,1220023901,1220023900
815,1220024601,1220024600
816,1220024701,1220024700
817,1220023001,1220023000
818,1220022901,1220022900
819,1220023002,1220023000
820,1220022902,1220022900
821,1220024103,1220024100
822,1220024003,1220024000
823,1220025201,1220025200
824,1220025301,1220025300
825,1220026301,1220026300
826,1220026201,1220026200
827,1220025202,1220025200
828,1220025302,1220025300
829,1220025203,1220025200
830,1220025303,1220025300
831,1220026002,1220026000
832,1220026102,1220026100
833,1220026001,1220026000
834,1220026101,1220026100
835,1220026302,1220026300
836,1220025002,1220025000
837,1220025102,1220025100
838,1220023402,1220023400
839,1220023302,1220023300
840,1210022303,1210022300
841,1210022203,1210022200
842,1220021003,1220021000
843,1220021103,1220021100
844,1220021002,1220021000
845,1220021102,1220021100
846,1220021001,1220021000
847,1220021101,1220021100
848,1210020101,1210020100
849,1210020001,1210020000
850,1220024102,1220024100
851,1220024002,1220024000
852,1220024101,1220024100
853,1220024001,1220024000
854,1220026202,1220026200
